,"lr, lambda, dropout","p, q, z, k",Validation Loss,exceptions
0,"[0.001, 0, 0.1]","[1, 3, 2, 2]",0.00250287827802822,0.033112582781456956
1,"[0.001, 0, 0.2]","[1, 3, 2, 2]",0.0025058455299586057,0.033112582781456956
2,"[0.001, 0.001, 0.1]","[1, 3, 2, 2]",0.0027017444488592448,0.033112582781456956
3,"[0.001, 0.001, 0.2]","[1, 3, 2, 2]",0.0027014172403141854,0.033112582781456956
4,"[0.001, 0.01, 0.1]","[1, 3, 2, 2]",0.0026144574186764656,0.033112582781456956
5,"[0.001, 0.01, 0.2]","[1, 3, 2, 2]",0.002612755915615708,0.033112582781456956
6,"[0.001, 0.1, 0.1]","[1, 3, 2, 2]",0.0026237449911423027,0.026490066225165563
7,"[0.001, 0.1, 0.2]","[1, 3, 2, 2]",0.0026239842316135766,0.026490066225165563
8,"[0.001, 1, 0.1]","[1, 3, 2, 2]",0.0026778009603731336,0.026490066225165563
9,"[0.001, 1, 0.2]","[1, 3, 2, 2]",0.0026764820073731242,0.026490066225165563
10,"[0.001, 10, 0.1]","[1, 3, 2, 2]",0.003231756824534386,0.026490066225165563
11,"[0.001, 10, 0.2]","[1, 3, 2, 2]",0.0032327195256948472,0.026490066225165563
